Available,Unavailable,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.8009639257089222,0.1990360742910778,Available,5,0,0.19230769230769232,0,1,1,data_avail_glmnet,glmnet,101
0.7996456696475253,0.2003543303524747,Available,6,0,0.2307692307692308,0,1,1,data_avail_glmnet,glmnet,101
0.79830179586861,0.20169820413138995,Available,7,0,0.2692307692307692,0,1,1,data_avail_glmnet,glmnet,101
0.78876146145252235,0.21123853854747768,Available,8,0,0.3076923076923077,0,1,1,data_avail_glmnet,glmnet,101
0.7583502404012096,0.2416497595987904,Available,9,0,0.34615384615384615,0,1,1,data_avail_glmnet,glmnet,101
0.7582907542208055,0.24170924577919453,Available,10,0,0.38461538461538464,0,1,1,data_avail_glmnet,glmnet,101
0.7566971835739905,0.24330281642600943,Available,11,0,0.4230769230769231,0,1,1,data_avail_glmnet,glmnet,101
0.7303549797300337,0.2696450202699663,Available,12,0,0.4615384615384616,0,1,1,data_avail_glmnet,glmnet,101
0.7285529735606081,0.2714470264393919,Available,13,0,0.5,0,1,1,data_avail_glmnet,glmnet,101
0.7234401245751555,0.2765598754248445,Unavailable,13,1,0.5,0.09090909090909093,0.9090909090909092,0.9285714285714286,data_avail_glmnet,glmnet,101
0.7201120519287316,0.2798879480712684,Available,14,1,0.5384615384615384,0.09090909090909093,0.9090909090909092,0.9333333333333332,data_avail_glmnet,glmnet,101
0.7077513003117855,0.29224869968821454,Unavailable,14,2,0.5384615384615384,0.18181818181818185,0.8181818181818181,0.875,data_avail_glmnet,glmnet,101
0.706864232876852,0.293135767123148,Available,15,2,0.5769230769230769,0.18181818181818185,0.8181818181818181,0.8823529411764706,data_avail_glmnet,glmnet,101
0.7007460269485163,0.2992539730514837,Available,16,2,0.6153846153846154,0.18181818181818185,0.8181818181818181,0.8888888888888888,data_avail_glmnet,glmnet,101
0.7004314058838934,0.29956859411610665,Available,17,2,0.6538461538461539,0.18181818181818185,0.8181818181818181,0.8947368421052632,data_avail_glmnet,glmnet,101
0.6958816094341529,0.30411839056584705,Available,18,2,0.6923076923076923,0.18181818181818185,0.8181818181818181,0.9,data_avail_glmnet,glmnet,101
0.6882095394461127,0.31179046055388726,Unavailable,18,3,0.6923076923076923,0.2727272727272727,0.7272727272727273,0.8571428571428571,data_avail_glmnet,glmnet,101
0.6848469205076759,0.315153079492324,Available,19,3,0.7307692307692307,0.2727272727272727,0.7272727272727273,0.8636363636363636,data_avail_glmnet,glmnet,101
0.6847478444072705,0.31525215559272945,Available,20,3,0.7692307692307693,0.2727272727272727,0.7272727272727273,0.8695652173913043,data_avail_glmnet,glmnet,101
0.6845210910158737,0.3154789089841264,Unavailable,20,4,0.7692307692307693,0.3636363636363637,0.6363636363636364,0.8333333333333334,data_avail_glmnet,glmnet,101
0.6836814051598353,0.31631859484016467,Available,21,4,0.8076923076923077,0.3636363636363637,0.6363636363636364,0.84,data_avail_glmnet,glmnet,101
0.6797607364327218,0.32023926356727817,Available,22,4,0.8461538461538461,0.3636363636363637,0.6363636363636364,0.8461538461538461,data_avail_glmnet,glmnet,101
0.6670349389002288,0.33296506109977114,Available,23,4,0.8846153846153846,0.3636363636363637,0.6363636363636364,0.8518518518518519,data_avail_glmnet,glmnet,101
0.6136117845649088,0.3863882154350912,Available,24,4,0.9230769230769232,0.3636363636363637,0.6363636363636364,0.8571428571428571,data_avail_glmnet,glmnet,101
0.6092693577641347,0.3907306422358653,Unavailable,24,5,0.9230769230769232,0.4545454545454546,0.5454545454545454,0.8275862068965517,data_avail_glmnet,glmnet,101
0.6024995282542951,0.39750047174570485,Unavailable,24,6,0.9230769230769232,0.5454545454545454,0.4545454545454546,0.8,data_avail_glmnet,glmnet,101
0.6021803873086493,0.39781961269135063,Available,25,6,0.9615384615384616,0.5454545454545454,0.4545454545454546,0.8064516129032258,data_avail_glmnet,glmnet,101
0.5881843338857105,0.41181566611428955,Unavailable,25,7,0.9615384615384616,0.6363636363636364,0.3636363636363637,0.78125,data_avail_glmnet,glmnet,101
0.562763196836865,0.43723680316313496,Unavailable,25,8,0.9615384615384616,0.7272727272727273,0.2727272727272727,0.7575757575757576,data_avail_glmnet,glmnet,101
0.5499480394117329,0.45005196058826713,Available,26,8,1,0.7272727272727273,0.2727272727272727,0.7647058823529411,data_avail_glmnet,glmnet,101
0.5168849567086239,0.4831150432913761,Unavailable,26,9,1,0.8181818181818182,0.18181818181818177,0.7428571428571429,data_avail_glmnet,glmnet,101
0.43958691248104376,0.5604130875189562,Unavailable,26,10,1,0.9090909090909092,0.09090909090909094,0.7222222222222222,data_avail_glmnet,glmnet,101
0.43958691248104376,0.5604130875189562,Unavailable,26,11,1,1,0,0.7027027027027027,data_avail_glmnet,glmnet,101
0.856178679102954,0.14382132089704605,Available,1,0,0.03846153846153846,0,1,1,data_avail_glmnet,glmnet,102
